id,method,gold_answer,model_raw,model_answer,correct_em,f1,grounded,abstained,hallucinated,tokens_out,latency_ms
1,direct,yes,yes [ID:PubMedQA-26348845],yes,1,1.0,1,0,0,2,884
1,cot,yes,Final Answer: yes | Reasoning: the passage states aspirin reduced recurrent MI; effect described as reduction not neutrality; result observed across subgroups implying robustness; comparator suggests improvement over standard care; no evidence of harm offsetting benefit is given; language is affirmative rather than uncertain; therefore the correct label is yes,yes,1,1.0,0,0,0,50,1129
2,direct,no,yes [ID:PubMedQA-10973547],yes,0,0.0,1,0,0,2,321
2,cot,no,Final Answer: yes | Reasoning: the passage states aspirin reduced recurrent MI; effect described as reduction not neutrality; result observed across subgroups implying robustness; comparator suggests improvement over standard care; no contradictory findings were highlighted in the passage.,yes,0,0.0,0,0,0,38,927
3,direct,yes,yes [ID:PubMedQA-26163474],yes,1,1.0,1,0,0,2,320
3,cot,yes,Final Answer: yes | Reasoning: the passage states an association between sublingual varices and hypertension; the association is quantified with an odds ratio of 2.25; the association is also quantified with a positive predictive value of 0.5; the association is also quantified with a negative predictive value of 0.80; therefore the correct label is yes [ID:PubMedQA-26163474],yes,1,1.0,1,0,0,56,1620
4,direct,yes,yes [ID:PubMedQA-24374414],yes,1,1.0,1,0,0,2,320
4,cot,yes,Final Answer: yes | Reasoning: the passage states aspirin reduced recurrent MI; effect described as reduction not neutrality; result observed across subgroups implying robustness; comparator suggests improvement over standard care; no contradictory findings were highlighted in the passage.,yes,1,1.0,0,0,0,38,930
5,direct,yes,Not in context.,not in context,0,0.0,0,1,0,3,102
5,cot,yes,Final Answer: yes | Reasoning: the passage states aspirin reduced recurrent MI; effect described as reduction not neutrality; result observed across subgroups implying robustness; comparator suggests improvement over standard care; no evidence of harm offsetting benefit is given; language is affirmative rather than uncertain; therefore the correct label is yes [ID:PubMedQA-18507507],yes,1,1.0,1,0,0,51,1380
6,direct,yes,Not in context.,not in context,0,0.0,0,1,0,3,97
6,cot,yes,Final Answer: yes | Reasoning: the passage states aspirin reduced recurrent MI; effect described as reduction not neutrality; result observed across subgroups implying robustness; comparator suggests improvement over standard care; no evidence of harm offsetting benefit is given; language is affirmative rather than uncertain; therefore the correct label is yes [ID:PubMedQA-23495128],yes,1,1.0,1,0,0,51,1384
7,direct,no,no [ID:PubMedQA-17192736],no,1,1.0,1,0,0,2,321
7,cot,no,Final Answer: yes | Reasoning: the passage states aspirin reduced recurrent MI; effect described as reduction not neutrality; result observed across subgroups implying robustness; comparator suggests improvement over standard care; no contradictory findings were highlighted in the passage.,yes,0,0.0,0,0,0,38,931
8,direct,yes,yes [ID:PubMedQA-12163782],yes,1,1.0,1,0,0,2,323
8,cot,yes,Final Answer: yes | Reasoning: the passage states aspirin reduced recurrent MI; effect described as reduction not neutrality; result observed across subgroups implying robustness; comparator suggests improvement over standard care; no evidence of harm offsetting benefit is given; language is affirmative rather than uncertain; therefore the correct label is yes [ID:PubMedQA-12163782],yes,1,1.0,1,0,0,51,1391
9,direct,yes,no [ID:PubMedQA-9582182],no,0,0.0,1,0,0,2,296
9,cot,yes,Final Answer: yes | Reasoning: the passage states aspirin reduced recurrent MI; effect described as reduction not neutrality; result observed across subgroups implying robustness; comparator suggests improvement over standard care; no evidence of harm offsetting benefit is given; language is affirmative rather than uncertain; therefore the correct label is yes,yes,1,1.0,0,0,0,50,1119
10,direct,yes,yes [ID:PubMedQA-25588461],yes,1,1.0,1,0,0,2,312
