id,method,gold_answer,model_raw,model_answer,correct_em,f1,grounded,abstained,hallucinated,tokens_out,latency_ms
1,direct,yes,Yes [PubMedQA-26348845].,yes,1,1.0,0,0,0,2,795
1,cot,yes,Final Answer: Yes.,yes,1,1.0,0,0,0,3,125
2,direct,no,Yes [ID:PubMedQA-10973547].,yes,0,0.0,1,0,0,2,321
2,cot,no,Final Answer: Yes,yes,0,0.0,0,0,0,3,109
3,direct,yes,Yes [ID:PubMedQA-26163474].,yes,1,1.0,1,0,0,2,320
3,cot,yes,Final Answer: Yes,yes,1,1.0,0,0,0,3,108
4,direct,yes,Not in context.,not in context,0,0.0,0,1,0,3,108
4,cot,yes,Final Answer: Yes.,yes,1,1.0,0,0,0,3,124
5,direct,yes,Not in context.,not in context,0,0.0,0,1,0,3,96
5,cot,yes,Final Answer: No,no,0,0.0,0,0,0,3,99
6,direct,yes,Yes [ID:PubMedQA-23495128].,yes,1,1.0,1,0,0,2,312
6,cot,yes,Final Answer: Not in context.,not in context,0,0.0,0,1,0,5,145
7,direct,no,yes,yes,0,0.0,0,0,0,1,62
7,cot,no,Final Answer: Yes,yes,0,0.0,0,0,0,3,108
8,direct,yes,Yes [ID:PubMedQA-12163782].,yes,1,1.0,1,0,0,2,322
8,cot,yes,Final Answer: Yes.,yes,1,1.0,0,0,0,3,125
9,direct,yes,Yes [ID:PubMedQA-9582182].,yes,1,1.0,1,0,0,2,296
9,cot,yes,"Final Answer: Yes. The SCL 90-R obsessive-compulsive dimension identifies cognitive impairments. The SCL 90-R obsessive-compulsive subscale was related to symptoms of depression (r = .81, P<.005), anxiety (r = .66, P<.005), and subjective complaints of memory problems (r = .75, P<.005). Multivariate analyses indicated that reported symptoms of depression contributed 66% of the variance in predicting SCL 90-R obsessive-compulsive scores, whereas symptoms of anxiety contributed an additional 6% (P<.0001).",yes,1,1.0,0,0,0,69,2459
10,direct,yes,Yes [ID:PubMedQA-25588461].,yes,1,1.0,1,0,0,2,313
10,cot,yes,Final Answer: Not in context.,not in context,0,0.0,0,1,0,5,146
11,direct,yes,Not in context.,not in context,0,0.0,0,1,0,3,108
11,cot,yes,Final Answer: No,no,0,0.0,0,0,0,3,108
12,direct,yes,Yes [ID:PubMedQA-14518645].,yes,1,1.0,1,0,0,2,313
12,cot,yes,Final Answer: Yes,yes,1,1.0,0,0,0,3,99
13,direct,yes,Yes [ID:PubMedQA-21084567].,yes,1,1.0,1,0,0,2,308
13,cot,yes,Final Answer: Yes. Reasoning: 1027 monitor and 716 booklet readings were recorded. Ninety per cent of booklet recordings were exactly the same as the BP monitor readings. Average booklet readings were 0.6 mmHg systolic [95% confidence interval (95% CI) -0.6 to 1.8] and 0.3 mmHg diastolic (95% CI -0.3 to 0.8) lower than those on the monitor.,yes,1,1.0,0,0,0,57,1861
14,direct,yes,Yes [ID:PubMedQA-11601252].,yes,1,1.0,1,0,0,2,312
14,cot,yes,Final Answer: Yes,yes,1,1.0,0,0,0,3,100
15,direct,yes,Yes [ID:PubMedQA-20577124].,yes,1,1.0,1,0,0,2,320
15,cot,yes,Reasoning:,not in context,0,0.0,0,1,0,1,108
16,direct,no,Not in context.,not in context,0,0.0,0,1,0,3,101
