id,method,gold_answer,model_answer,correct_em,f1,grounded,abstained,hallucinated,tokens_out,latency_ms
1,direct,yes,not in context,0,0.0,0,0,0,3,908
1,cot,yes,no,0,0.0,0,0,0,1,365
2,direct,no,no,1,1.0,0,0,0,1,49
2,cot,no,no,1,1.0,0,0,0,1,48
3,direct,yes,not in context,0,0.0,0,0,0,3,47
3,cot,yes,not in context,0,0.0,0,0,0,3,47
4,direct,yes,not in context,0,0.0,0,0,0,3,47
4,cot,yes,not in context,0,0.0,0,0,0,3,365
5,direct,yes,not in context,0,0.0,0,0,0,3,41
5,cot,yes,not in context,0,0.0,0,0,0,3,35
6,direct,yes,not in context,0,0.0,0,0,0,3,35
6,cot,yes,not in context,0,0.0,0,0,0,3,38
7,direct,no,no,1,1.0,0,0,0,1,46
7,cot,no,no,1,1.0,0,0,0,1,380
8,direct,yes,not in context,0,0.0,0,0,0,3,48
8,cot,yes,not in context,0,0.0,0,0,0,3,49
9,direct,yes,not in context,0,0.0,0,0,0,3,39
9,cot,yes,not in context,0,0.0,0,0,0,3,251
10,direct,yes,no,0,0.0,0,0,0,1,38
10,cot,yes,no,0,0.0,0,0,0,1,129
11,direct,yes,not in context,0,0.0,0,0,0,3,39
11,cot,yes,not in context,0,0.0,0,0,0,3,107
12,direct,yes,not in context,0,0.0,0,0,0,3,40
12,cot,yes,not in context,0,0.0,0,0,0,3,34
13,direct,yes,not in context,0,0.0,0,0,0,3,337
13,cot,yes,not in context,0,0.0,0,0,0,3,84
14,direct,yes,not in context,0,0.0,0,0,0,3,38
14,cot,yes,not in context,0,0.0,0,0,0,3,38
15,direct,yes,not in context,0,0.0,0,0,0,3,47
15,cot,yes,not in context,0,0.0,0,0,0,3,184
16,direct,no,not in context,0,0.0,0,0,0,3,39
16,cot,no,not in context,0,0.0,0,0,0,3,40
17,direct,yes,no,0,0.0,0,0,0,1,47
17,cot,yes,no,0,0.0,0,0,0,1,47
18,direct,yes,not in context,0,0.0,0,0,0,3,47
18,cot,yes,not in context,0,0.0,0,0,0,3,155
19,direct,no,not in context,0,0.0,0,0,0,3,38
19,cot,no,not in context,0,0.0,0,0,0,3,39
20,direct,yes,no,0,0.0,0,0,0,1,62
20,cot,yes,no,0,0.0,0,0,0,1,94
21,direct,no,no,1,1.0,0,0,0,1,381
21,cot,no,no,1,1.0,0,0,0,1,228
22,direct,yes,no,0,0.0,0,0,0,1,39
22,cot,yes,no,0,0.0,0,0,0,1,238
23,direct,yes,not in context,0,0.0,0,0,0,3,39
23,cot,yes,not in context,0,0.0,0,0,0,3,1974
24,direct,no,not in context,0,0.0,0,0,0,3,336
24,cot,no,not in context,0,0.0,0,0,0,3,516
25,direct,no,no,1,1.0,0,0,0,1,350
25,cot,no,no,1,1.0,0,0,0,1,47
26,direct,maybe,not in context,0,0.0,0,0,0,3,47
26,cot,maybe,not in context,0,0.0,0,0,0,3,910
27,direct,yes,not in context,0,0.0,0,0,0,3,47
27,cot,yes,not in context,0,0.0,0,0,0,3,352
28,direct,yes,not in context,0,0.0,0,0,0,3,39
28,cot,yes,not in context,0,0.0,0,0,0,3,296
29,direct,yes,no,0,0.0,0,0,0,1,46
29,cot,yes,no,0,0.0,0,0,0,1,92
30,direct,yes,no,0,0.0,0,0,0,1,477
30,cot,yes,no,0,0.0,0,0,0,1,341
31,direct,no,not in context,0,0.0,0,0,0,3,47
31,cot,no,not in context,0,0.0,0,0,0,3,395
32,direct,yes,not in context,0,0.0,0,0,0,3,40
32,cot,yes,not in context,0,0.0,0,0,0,3,398
33,direct,yes,not in context,0,0.0,0,0,0,3,35
33,cot,yes,not in context,0,0.0,0,0,0,3,356
34,direct,no,no,1,1.0,0,0,0,1,40
34,cot,no,no,1,1.0,0,0,0,1,352
35,direct,yes,not in context,0,0.0,0,0,0,3,46
35,cot,yes,not in context,0,0.0,0,0,0,3,1969
36,direct,yes,not in context,0,0.0,0,0,0,3,365
36,cot,yes,not in context,0,0.0,0,0,0,3,46
37,direct,no,not in context,0,0.0,0,0,0,3,144
37,cot,no,no,1,1.0,0,0,0,1,84
38,direct,no,no,1,1.0,0,0,0,1,39
38,cot,no,no,1,1.0,0,0,0,1,83
39,direct,no,no,1,1.0,0,0,0,1,60
39,cot,no,no,1,1.0,0,0,0,1,60
40,direct,yes,no,0,0.0,0,0,0,1,32
40,cot,yes,no,0,0.0,0,0,0,1,30
41,direct,no,not in context,0,0.0,0,0,0,3,44
41,cot,no,not in context,0,0.0,0,0,0,3,303
